Section,Dataset name,SRA / ENA ID(s),Type of sequencing,Platform,Size,Dataset overview / context,Associated metadata,Geographical origin,First public
Metagenomic (shotgun),The Vaginal Microbiome as a Reservoir for Uropathogens: A Population-S,PRJNA1460779,WGS (shotgun) (10003),ILLUMINA,10003 samples / 10003 runs / ~1626 Gbp,"Population-scale (~10,000 samples) study of the vaginal microbiome as a reservoir for uropathogens; among the largest shotgun deposits to date.","Rich (3 sample attributes): incl. age, race",USA,2026-06-19
"Metagenomic — WGA (whole-genome amplification, not conventional shotgun)",VaMiGyn,PRJEB74625,WGA (whole-genome amplification) (1273),DNBSEQ,1273 samples / 1273 runs / ~2962 Gbp,VaMiGyn: deeply sequenced (~3 Tbp) characterization of the vaginal microbiome in a Swedish gynecological cohort.,Minimal — MIMS environmental fields only (no clinical metadata in SRA),Sweden,2025-05-30
Metagenomic (shotgun),Unveiling Mechanisms in Vaginal Microbiome Dynamics through Model-Driv,PRJNA1219227,WGS (shotgun) (702),ILLUMINA,702 samples / 702 runs / ~81 Gbp,Unveiling Mechanisms in Vaginal Microbiome Dynamics through Model-Driven Analysis,Moderate (4 sample attributes); mostly identifiers/technical fields,USA,2025-02-06
Metagenomic (shotgun),Effect of initiation of antiretroviral drugs for HIV prevention or tre,PRJNA1179925,WGS (shotgun) (435),ILLUMINA,435 samples / 435 runs / ~2700 Gbp,"Interventional: effect of antiretroviral (HIV prevention/treatment) initiation on the vaginal microbiome in Malawian women; rich clinical metadata (CST, pH, gravidity, Shannon).","Rich (11 sample attributes): incl. community state type, gravidity, pH, gestational age, age, Shannon diversity",Malawi,2024-11-04
Metagenomic (shotgun),Cervicovaginal microbiome and virome in discordant HIV shedding,PRJNA1077994,WGA (whole-genome amplification) (250); WGS (shotgun) (125),ILLUMINA,125 samples / 375 runs / ~1072 Gbp,Cervicovaginal microbiome + virome in HIV-discordant genital shedding (Peru).,Moderate (3 sample attributes); mostly identifiers/technical fields,Peru,2024-07-09
Metagenomic (shotgun),VMRC multi-omic,PRJNA797778,16S amplicon (428); WGS (shotgun) (362); RNA-Seq (metatranscriptome) (257),ILLUMINA,398 samples / 1047 runs / ~1800 Gbp,"Multi-omic consortium resource: paired 16S, shotgun metagenomic and metatranscriptomic sequencing of vaginal samples; substrate for gene catalogs.","Rich (6 sample attributes): incl. ethnicity, age, pregnancy status, longitudinal timepoint",USA,2022-02-19
Metagenomic (shotgun),Population genetic analyses of vaginal microbiome,PRJEB64671,WGS (shotgun) (351),ILLUMINA,351 samples / 351 runs / ~970 Gbp,Population-genetic analyses of the vaginal microbiome (US) — strain-level shotgun.,Moderate (2 sample attributes); mostly identifiers/technical fields,USA,2024-03-08
Metagenomic (shotgun),Effects of the menstrual cycle and hormonal contraceptives on the huma,PRJEB37731,WGS (shotgun) (318),ILLUMINA,318 samples / 318 runs / ~9 Gbp,Interventional/longitudinal: effect of menstrual cycle and hormonal contraceptives on the human microbiome (Denmark).,"Rich (9 sample attributes): incl. pH, age",Denmark,2020-09-30
Metagenomic (shotgun),Feasibility of a novel non-invasive swab technique for serial whole-ex,PRJNA882412,WXS (exome) (287),ILLUMINA,287 samples / 287 runs / ~7615 Gbp,Feasibility of a novel non-invasive swab technique for serial whole-exome sequencing of cervical tumors during chemoradiation therapy,Moderate (1 sample attributes); mostly identifiers/technical fields,USA,2022-10-14
Metagenomic (shotgun),human vaginal metagenome Raw sequence reads,PRJNA451212,WGS (shotgun) (243),ILLUMINA,1 samples / 243 runs / ~31 Gbp,human vaginal metagenome Raw sequence reads,Minimal — MIMS environmental fields only (no clinical metadata in SRA),USA,2018-04-22
Metagenomic (shotgun),Neurobiological and neurocognitive consequences of diverse microbiome ,PRJNA1249435,WGS (shotgun) (238),ILLUMINA,238 samples / 238 runs / ~3864 Gbp,Neurobiological/neurocognitive consequences of microbiome functional trajectories; deep shotgun (~3.9 Tbp).,Rich (2 sample attributes): incl. age,USA,2026-03-27
