shotgun_species,valencia_taxon,method
Acidaminococcus fermentans,g_Acidaminococcus,genus
Acidaminococcus intestini,g_Acidaminococcus,genus
Acinetobacter baumannii,g_Acinetobacter,genus
Acinetobacter calcoaceticus,g_Acinetobacter,genus
Acinetobacter johnsonii,g_Acinetobacter,genus
Actinobaculum massiliense,g_Actinobaculum,genus
Actinomyces graevenitzii,g_Actinomyces,genus
Actinomyces israelii,g_Actinomyces,genus
Actinomyces naeslundii,g_Actinomyces,genus
Actinomyces urinae,g_Actinomyces,genus
Actinomyces urogenitalis,g_Actinomyces,genus
Actinomyces viscosus,g_Actinomyces,genus
Actinotignum schaalii,g_Actinotignum,genus
Actinotignum timonense,g_Actinotignum,genus
Actinotignum urinale,g_Actinotignum,genus
Aerococcus christensenii,g_Aerococcus,genus
Aerococcus sanguinicola,g_Aerococcus,genus
Aerococcus urinae,g_Aerococcus,genus
Aerococcus viridans,g_Aerococcus,genus
Alistipes finegoldii,g_Alistipes,genus
Alloprevotella tannerae,g_Alloprevotella,genus
Alloscardovia omnicolens,g_Alloscardovia,genus
Anaerococcus hydrogenalis,g_Anaerococcus,genus
Anaerococcus lactolyticus,g_Anaerococcus,genus
Anaerococcus mediterraneensis,g_Anaerococcus,genus
Anaerococcus obesiensis,g_Anaerococcus,genus
Anaerococcus octavius,g_Anaerococcus,genus
Anaerococcus prevotii,g_Anaerococcus,genus
Anaerococcus sp. Marseille-P3915,g_Anaerococcus,genus
Anaerococcus tetradius,g_Anaerococcus,genus
Anaerococcus urinomassiliensis,g_Anaerococcus,genus
Anaerococcus vaginalis,g_Anaerococcus,genus
Anaeroglobus geminatus,g_Anaeroglobus,genus
Arcanobacterium urinimassiliense,g_Arcanobacterium,genus
Atopobium deltae,Atopobium_deltae,species
Atopobium minutum,Atopobium_minutum,species
Bacillus cereus,g_Bacillus,genus
Bacillus mycoides,g_Bacillus,genus
Bacillus subtilis,g_Bacillus,genus
Bacteroides faecis,g_Bacteroides,genus
Bacteroides fragilis,g_Bacteroides,genus
Bacteroides nordii,g_Bacteroides,genus
Bacteroides ovatus,g_Bacteroides,genus
Bacteroides salyersiae,g_Bacteroides,genus
Bacteroides stercoris,g_Bacteroides,genus
Bacteroides thetaiotaomicron,g_Bacteroides,genus
Bacteroides uniformis,g_Bacteroides,genus
Bacteroides xylanisolvens,g_Bacteroides,genus
Bacteroides zoogleoformans,g_Bacteroides,genus
Bifidobacterium adolescentis,g_Bifidobacterium,genus
Bifidobacterium biavatii,g_Bifidobacterium,genus
Bifidobacterium bifidum,g_Bifidobacterium,genus
Bifidobacterium breve,g_Bifidobacterium,genus
Bifidobacterium dentium,g_Bifidobacterium,genus
Bifidobacterium longum,g_Bifidobacterium,genus
Bifidobacterium pseudocatenulatum,g_Bifidobacterium,genus
Bifidobacterium scardovii,g_Bifidobacterium,genus
Blautia hydrogenotrophica,g_Blautia,genus
Blautia obeum,g_Blautia,genus
Blautia producta,g_Blautia,genus
Brevibacterium luteolum,g_Brevibacterium,genus
Brevibacterium mcbrellneri,g_Brevibacterium,genus
