model,sample,k,n_pairs,n_subj,n_transitions,base_rate,AUROC,AUROC_lo,AUROC_hi,AUPRC,AUPRC_lo,AUPRC_hi
logit,native,0,967,40,615,0.636,0.6478,0.6184,0.678,0.7571,0.7252,0.7928
logit,native,1,922,40,588,0.6377,0.6427,0.6107,0.6739,0.7485,0.7126,0.7868
logit,native,2,878,40,560,0.6378,0.6366,0.6001,0.6729,0.752,0.716,0.7897
logit,native,3,835,40,530,0.6347,0.6362,0.6007,0.6718,0.7403,0.7069,0.7777
logit,native,4,792,40,507,0.6402,0.644,0.6047,0.6859,0.7384,0.7014,0.7822
logit,native,5,750,40,480,0.64,0.6469,0.6005,0.6888,0.7522,0.7097,0.7957
gbt,native,0,967,40,615,0.636,0.6439,0.615,0.6725,0.7508,0.716,0.7869
gbt,native,1,922,40,588,0.6377,0.6241,0.5868,0.6594,0.7297,0.6873,0.7733
gbt,native,2,878,40,560,0.6378,0.6226,0.5847,0.6586,0.7289,0.6934,0.7664
gbt,native,3,835,40,530,0.6347,0.6232,0.5864,0.6579,0.7255,0.6857,0.7687
gbt,native,4,792,40,507,0.6402,0.6333,0.5916,0.673,0.7353,0.6974,0.7769
gbt,native,5,750,40,480,0.64,0.6404,0.6019,0.6787,0.7445,0.7063,0.7845
logit,fixed750,0,750,40,480,0.64,0.651,0.6102,0.6917,0.7591,0.716,0.8047
logit,fixed750,1,750,40,480,0.64,0.6468,0.6057,0.6849,0.7558,0.7157,0.7978
logit,fixed750,2,750,40,480,0.64,0.6482,0.6059,0.6891,0.7576,0.7132,0.8019
logit,fixed750,3,750,40,480,0.64,0.6466,0.6044,0.6857,0.7564,0.7161,0.8009
logit,fixed750,4,750,40,480,0.64,0.6511,0.6065,0.6914,0.7521,0.7078,0.7954
logit,fixed750,5,750,40,480,0.64,0.6469,0.6016,0.6909,0.7522,0.7077,0.7971
gbt,fixed750,0,750,40,480,0.64,0.6336,0.5929,0.6709,0.7596,0.7207,0.7986
gbt,fixed750,1,750,40,480,0.64,0.6269,0.5887,0.6641,0.735,0.6971,0.7797
gbt,fixed750,2,750,40,480,0.64,0.6313,0.5919,0.6699,0.7418,0.6981,0.7922
gbt,fixed750,3,750,40,480,0.64,0.6222,0.5794,0.6647,0.7299,0.6865,0.7796
gbt,fixed750,4,750,40,480,0.64,0.6396,0.5971,0.6784,0.7389,0.7019,0.7808
gbt,fixed750,5,750,40,480,0.64,0.6404,0.6026,0.6792,0.7445,0.7087,0.7843
