model,sample,k,n_pairs,n_subj,n_onset,base_rate,AUROC,AUROC_lo,AUROC_hi,AUPRC,AUPRC_lo,AUPRC_hi
logit,native,0,698,40,193,0.2765,0.506,0.4567,0.5552,0.2847,0.2479,0.3354
logit,native,1,670,40,185,0.2761,0.4561,0.4182,0.4985,0.2623,0.2269,0.3072
logit,native,2,641,40,178,0.2777,0.4705,0.4299,0.5164,0.2581,0.2293,0.3002
logit,native,3,605,40,165,0.2727,0.4708,0.4301,0.5095,0.2761,0.2349,0.3312
logit,native,4,576,40,160,0.2778,0.4815,0.4361,0.5289,0.2942,0.2499,0.3552
logit,native,5,544,40,151,0.2776,0.4724,0.4208,0.5269,0.2819,0.2317,0.3581
gbt,native,0,698,40,193,0.2765,0.5297,0.4832,0.5789,0.2947,0.2542,0.3448
gbt,native,1,670,40,185,0.2761,0.4639,0.4233,0.5093,0.2704,0.2311,0.3218
gbt,native,2,641,40,178,0.2777,0.4602,0.4132,0.5071,0.2548,0.2235,0.298
gbt,native,3,605,40,165,0.2727,0.4668,0.4282,0.5036,0.2636,0.2249,0.3156
gbt,native,4,576,40,160,0.2778,0.476,0.436,0.5187,0.2588,0.2224,0.3074
gbt,native,5,544,40,151,0.2776,0.4378,0.3907,0.4859,0.2418,0.2014,0.2951
logit,fixed544,0,544,40,151,0.2776,0.4358,0.3889,0.4877,0.2496,0.2119,0.3089
logit,fixed544,1,544,40,151,0.2776,0.4224,0.3766,0.4743,0.2501,0.2094,0.3023
logit,fixed544,2,544,40,151,0.2776,0.4258,0.3779,0.4766,0.2472,0.211,0.296
logit,fixed544,3,544,40,151,0.2776,0.4429,0.3929,0.4963,0.2536,0.2144,0.3115
logit,fixed544,4,544,40,151,0.2776,0.4722,0.4187,0.5288,0.2838,0.2315,0.3556
logit,fixed544,5,544,40,151,0.2776,0.4724,0.4191,0.5256,0.2819,0.2276,0.3562
gbt,fixed544,0,544,40,151,0.2776,0.4958,0.4341,0.5571,0.293,0.2365,0.3711
gbt,fixed544,1,544,40,151,0.2776,0.4772,0.4259,0.5314,0.2721,0.2296,0.3341
gbt,fixed544,2,544,40,151,0.2776,0.4668,0.4177,0.5183,0.2697,0.2286,0.3281
gbt,fixed544,3,544,40,151,0.2776,0.4636,0.4185,0.5101,0.2676,0.2237,0.3213
gbt,fixed544,4,544,40,151,0.2776,0.4382,0.3967,0.4802,0.2435,0.2043,0.2978
gbt,fixed544,5,544,40,151,0.2776,0.4378,0.3931,0.4883,0.2418,0.2009,0.2951
