model,target,AUROC,AUPRC,balanced_acc,brier,AUROC_fold_mean,AUROC_fold_std,AUPRC_fold_mean,AUPRC_fold_std,n,pos_rate
marginal,y_transition,0.49308250184774577,0.6319966023542101,0.5,0.23152817841649098,0.5,0.0,0.6334465138036567,0.0067205405123226935,967,0.6359875904860393
persistence,y_transition,,0.6359875904860393,0.5,0.6359875904860393,,,,,967,0.6359875904860393
cov_curCST,y_transition,0.664490946045824,0.7621684330925974,0.6370403732446415,0.23054104650556023,0.6689533560509029,0.034175834349615034,0.772110030341249,0.02330817709006819,967,0.6359875904860393
enet,y_transition,0.5959765336289726,0.7183514880022296,0.5656157612712491,0.2755962354652159,0.5990711112823981,0.019023804123818235,0.7250766833033756,0.019219284222602512,967,0.6359875904860393
rf,y_transition,0.6318967110125647,0.7356279859921238,0.5781273096821877,0.22413684823437308,0.6309928980143902,0.02213457614279969,0.7411518977573212,0.022440692775385837,967,0.6359875904860393
xgb,y_transition,0.6229351441241685,0.7262962682263151,0.5696507760532151,0.23239379463340434,0.622549195401834,0.013751208489630008,0.731051900841938,0.021599050860396173,967,0.6359875904860393
marginal,y_into_IV,0.4894269737854614,0.27148626654653135,0.5,0.2000821827080921,0.5,0.0,0.277832674571805,0.002470355731225282,698,0.27650429799426934
persistence,y_into_IV,,0.27650429799426934,0.5,0.27650429799426934,,,,,698,0.27650429799426934
cov_curCST,y_into_IV,0.5430205714872005,0.3057087895469537,0.530816190427333,0.2500629342557069,0.5447863559353581,0.012114625690291212,0.32655088265256005,0.01856338972830059,698,0.27650429799426934
enet,y_into_IV,0.5466680346791155,0.3236394835661016,0.5386395116195557,0.2895491424831898,0.54544835421065,0.029737075590351363,0.3431597060601982,0.038867501199100776,698,0.27650429799426934
rf,y_into_IV,0.5094957164110193,0.27452603886763527,0.48196275586107834,0.21513431160255872,0.5105127813116306,0.03685676099036471,0.2906432502952323,0.039142134875080975,698,0.27650429799426934
xgb,y_into_IV,0.5071153747499102,0.2837192083771716,0.49186374596008825,0.2260938048017747,0.5045023335125226,0.033840743858175905,0.3020522063274549,0.02970446879424247,698,0.27650429799426934
