effect_OR,n_subjects,mean_delta_AUROC,se_delta,power_detect,n_valid
1.13,20,-0.0381,0.0039,0.033,60
1.13,40,-0.0235,0.002,0.0,60
1.13,80,-0.0085,0.0015,0.017,60
1.13,160,-0.0063,0.0008,0.0,60
1.13,320,-0.0047,0.0006,0.0,60
1.13,640,-0.003,0.0005,0.0,60
1.3,20,-0.0341,0.0042,0.05,60
1.3,40,-0.0174,0.0027,0.0,60
1.3,80,-0.0017,0.0013,0.017,60
1.3,160,0.0064,0.0008,0.017,60
1.3,320,0.0088,0.0006,0.017,60
1.3,640,0.0107,0.0003,0.0,60
1.6,20,0.0016,0.003,0.217,60
1.6,40,0.0182,0.002,0.467,60
1.6,80,0.0276,0.0015,0.783,60
1.6,160,0.0323,0.0008,1.0,60
1.6,320,0.0362,0.0006,1.0,60
1.6,640,0.0364,0.0005,1.0,60
2.0,20,0.0358,0.0036,0.733,60
2.0,40,0.0538,0.0025,0.95,60
2.0,80,0.0637,0.0015,1.0,60
2.0,160,0.0671,0.0011,1.0,60
2.0,320,0.0711,0.0006,1.0,60
2.0,640,0.0708,0.0005,1.0,60
